huihe,time,quarter,qtime,sop,team,person,xp,yp,region,defense,person2,xp2,yp2,score
1,584.63,3,18.76,pass,1610612739,2590,31.58642,32.95648,6,"[0, 0, 0, 1, 0]",201567,14.32617,32.67099,0
1,583.67,3,18.07,pass,1610612739,201567,12.52278,33.01055,4,"[0, 0, 1, 1, 0]",2590,31.58019,31.52651,0
1,581.19,3,16.29,shot,1610612739,2590,29.59106,26.82559,5,"[0, 0, 1, 0, 0]",,,,0
2,464.36,3,17.58,pass,1610612739,202389,66.99962,12.77778,22,"[0, 0, 1, 0, 1]",2747,71.70058,12.87022,0
2,464.2,3,17.44,pass,1610612739,2747,73.14213,13.24328,22,"[0, 0, 1, 0, 1]",202389,67.33507,12.98086,0
2,463.84,3,17.13,pass,1610612739,202389,68.58171,14.13848,22,"[0, 0, 1, 0, 0]",2747,78.90678,15.10409,0
2,463.76,3,17.06,shot,1610612739,2747,78.90678,15.10409,33,"[0, 0, 1, 0, 0]",,,,0
3,452.12,3,13.81,pass,1610612739,201567,19.38687,23.28313,5,"[0, 0, 0, 0, 0]",202389,9.27589,24.41162,0
3,451.76,3,13.45,shot,1610612739,202389,9.28997,24.79732,4,"[0, 0, 0, 1, 0]",,,,0
4,381.81,3,18.51,pass,1610612739,201567,20.13681,17.81999,5,"[1, 0, 0, 0, 0]",202389,11.09816,18.79477,0
4,381.49,3,18.28,shot,1610612739,202389,10.87088,21.15241,4,"[1, 0, 0, 1, 1]",,,,0
5,229.77,3,7.25,pass,1610612739,202389,74.32224,34.18446,88,"[0, 0, 1, 0, 0]",203521,87.85074,34.73287,0
5,229.65,3,7.15,pass,1610612739,203521,88.54702,34.17998,99,"[0, 0, 1, 0, 1]",202389,75.18436,34.21982,0
5,229.49,3,7.01,shot,1610612739,202389,75.58689,34.37694,88,"[0, 0, 1, 0, 1]",,,,0
6,209.09,3,18.39,pass,1610612739,203521,59.97215,24.74763,44,"[0, 1, 0, 0, 0]",2210,76.14729,4.58622,0
6,208.02,3,17.31,shot,1610612739,2210,76.58643,4.35253,22,"[0, 1, 1, 0, 1]",,,,0
7,172.58,3,22.51,pass,1610612739,2747,64.95803,33.73165,88,"[0, 0, 0, 1, 1]",2210,63.32604,18.38612,0
